timestamp,class,confidence,map_x,map_y,robot_x,robot_y,robot_yaw,is_new
2026-03-21T22:14:52.255626,orange,0.993,-4.799,-2.008,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:52.255652,orange,0.799,-4.958,-2.255,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:52.544901,orange,1.000,-4.897,-2.148,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:52.544940,orange,0.991,-4.799,-2.008,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:52.544953,orange,0.807,-4.961,-2.259,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:54.153995,orange,1.000,-4.897,-2.147,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:54.154236,orange,0.993,-4.797,-2.006,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:54.154262,orange,0.834,-4.957,-2.253,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:54.396967,orange,1.000,-4.900,-2.152,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:54.397021,orange,0.996,-4.795,-2.004,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:54.397035,orange,0.858,-4.947,-2.233,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:54.880245,orange,1.000,-4.900,-2.152,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:54.880324,orange,0.995,-4.795,-2.004,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:54.880354,orange,0.846,-4.951,-2.240,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:55.180998,orange,1.000,-4.899,-2.150,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:55.181051,orange,0.995,-4.798,-2.007,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:55.181068,orange,0.848,-4.957,-2.252,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:55.382095,orange,1.000,-4.899,-2.151,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:55.382161,orange,0.995,-4.797,-2.007,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:55.382194,orange,0.847,-4.955,-2.249,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:56.305088,orange,1.000,-4.898,-2.149,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:56.305725,orange,0.995,-4.796,-2.005,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:56.305765,orange,0.846,-4.956,-2.251,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:56.698817,orange,1.000,-4.898,-2.149,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:56.698877,orange,0.995,-4.795,-2.004,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:56.698892,orange,0.853,-4.956,-2.250,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.083156,orange,1.000,-4.897,-2.148,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.083195,orange,0.995,-4.797,-2.007,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.083210,orange,0.822,-4.957,-2.253,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.341488,orange,1.000,-4.898,-2.149,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.341534,orange,0.995,-4.797,-2.006,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.341557,orange,0.827,-4.956,-2.252,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.608842,orange,1.000,-4.897,-2.148,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.608885,orange,0.994,-4.797,-2.006,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.608898,orange,0.831,-4.956,-2.251,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.955217,orange,1.000,-4.898,-2.148,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.955330,orange,0.994,-4.797,-2.006,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:57.955359,orange,0.831,-4.957,-2.252,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:58.462963,orange,1.000,-4.898,-2.149,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:58.463026,orange,0.995,-4.795,-2.004,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:58.463052,orange,0.829,-4.955,-2.250,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:59.224049,orange,1.000,-4.899,-2.150,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:59.227942,orange,0.995,-4.795,-2.004,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:59.227966,orange,0.840,-4.955,-2.250,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:59.795733,orange,1.000,-4.899,-2.151,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:59.795863,orange,0.994,-4.796,-2.006,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:14:59.795934,orange,0.859,-4.947,-2.234,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:00.278067,orange,1.000,-4.898,-2.150,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:00.278133,orange,0.994,-4.798,-2.008,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:00.278154,orange,0.849,-4.955,-2.249,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:00.673883,orange,1.000,-4.898,-2.150,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:00.674048,orange,0.995,-4.797,-2.007,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:00.674076,orange,0.840,-4.955,-2.249,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:01.071617,orange,1.000,-4.898,-2.150,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:01.071673,orange,0.995,-4.798,-2.008,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:01.071687,orange,0.839,-4.957,-2.253,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:01.279188,orange,1.000,-4.898,-2.149,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:01.279248,orange,0.995,-4.796,-2.006,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:01.279273,orange,0.843,-4.956,-2.252,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:02.225672,orange,1.000,-4.896,-2.146,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:15:02.225905,orange,0.993,-4.800,-2.010,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:15:02.226008,orange,0.804,-4.957,-2.252,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:15:02.537606,orange,1.000,-4.897,-2.148,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:15:02.537662,orange,0.993,-4.798,-2.008,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:15:02.537675,orange,0.824,-4.958,-2.254,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:15:03.124283,orange,1.000,-4.897,-2.148,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:03.124409,orange,0.994,-4.798,-2.007,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:03.124445,orange,0.831,-4.956,-2.251,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:03.331675,orange,1.000,-4.898,-2.149,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:03.331761,orange,0.994,-4.797,-2.006,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:03.331789,orange,0.832,-4.955,-2.249,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:03.865377,orange,1.000,-4.897,-2.148,-3.625,-2.942,2.713,UPDATE
2026-03-21T22:15:03.865436,orange,0.995,-4.797,-2.007,-3.625,-2.942,2.713,UPDATE
